epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,734.532,1.43955,1.77789,0.01268,0.58593,0.54426,0.56393,0.3179,1.47325,1.68195,0.0189,0.00999262,0.00333087,0.00999262,0.00333087,0.0766839,0.0700221,0.00999262,0.00333087
2,1417.97,1.44213,1.55155,0.01269,0.58273,0.5637,0.57622,0.31949,1.48096,1.61017,0.01916,0.0198607,0.00662022,0.0198607,0.00662022,0.0532186,0.0399782,0.0198607,0.00662022
3,2063.3,1.49155,1.59238,0.01344,0.56559,0.54383,0.54816,0.30638,1.519,1.71397,0.02031,0.0295967,0.00986557,0.0295967,0.00986557,0.0296213,0.00989017,0.0295967,0.00986557
4,2702.34,1.52002,1.59895,0.01356,0.57813,0.54455,0.56127,0.32248,1.46406,1.6285,0.01954,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,3341.49,1.48583,1.54666,0.01327,0.60222,0.56631,0.59758,0.35328,1.41799,1.52318,0.01858,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,3980.42,1.46398,1.50202,0.01295,0.60566,0.5936,0.61801,0.36841,1.39235,1.47917,0.0183,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,4618.09,1.44695,1.48267,0.0128,0.62,0.59685,0.62303,0.37463,1.37349,1.43246,0.01783,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,5255.85,1.43147,1.4547,0.01271,0.63238,0.60101,0.63964,0.38681,1.36074,1.40596,0.01753,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,5894.61,1.4194,1.43615,0.01246,0.63247,0.61536,0.64859,0.39742,1.32875,1.39467,0.01705,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,6536.15,1.40472,1.40908,0.01236,0.63816,0.61622,0.65197,0.40185,1.32319,1.36765,0.01681,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,7188.03,1.39799,1.39422,0.01219,0.64982,0.61367,0.65863,0.40671,1.31134,1.34361,0.01676,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,7840.73,1.38741,1.39175,0.01219,0.66097,0.6239,0.66965,0.41587,1.29634,1.323,0.01646,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,8490.89,1.38329,1.36924,0.01209,0.65185,0.63179,0.67034,0.41746,1.28701,1.32772,0.01637,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,9144.57,1.37613,1.35864,0.012,0.64973,0.63728,0.67057,0.41973,1.29102,1.30816,0.01644,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,9821.78,1.37364,1.3531,0.01191,0.66236,0.63495,0.68015,0.42884,1.26146,1.28934,0.01586,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,10478.2,1.3639,1.33918,0.01178,0.66385,0.64299,0.68462,0.43187,1.26602,1.26571,0.01584,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
